amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
4.873938,37.30195,-82.29049,9.272031,36.995235,-81.59501,61.78277,22.48542,3.1730258,9.542102,5.925751,163,8,1,363,901,26,404,308
6.6290355,38.671196,-87.70314,7.76793,38.35777,-88.525696,87.62879,3.8406591,28.538902,10.546811,6.5161174e-08,541,0,0,872,902,43,937,411
3.2521157,35.35662,-83.99286,8.362773,35.5775,-82.27708,39.50008,23.0,19.127718,8.713434,3.7466257,644,4,0,671,726,7,223,166
6.8946023,34.91839,-86.66974,8.958939,34.83406,-87.75779,40.751705,20.342035,27.107166,11.31003,1.9688065,106,7,1,226,490,30,323,123
6.394973,38.740513,-78.299065,6.553398,38.431168,-77.41864,52.740597,22.6736,28.022793,6.328293,0.20293981,217,2,1,455,76,32,774,341
1.936023,42.28976,-92.819565,9.285785,42.472458,-92.667694,79.32597,21.507956,19.56543,11.368513,0.62362033,329,3,1,687,683,8,256,145
6.6305513,36.909428,-119.07335,4.972866,37.478138,-118.59879,62.16805,22.889345,19.2581,2.7928908,4.056119,106,0,1,486,84,11,525,283
5.6225905,44.813206,-109.25995,8.793351,45.448048,-109.5131,37.677856,21.895252,16.345274,4.825962,5.845618,15,13,1,266,626,3,456,7
6.8785696,39.220352,-116.2715,7.79917,38.791874,-116.44253,66.34997,22.45468,19.280388,10.272875,2.651783,451,6,0,802,270,11,157,438
2.9124694,39.64547,-86.823524,9.692914,39.64053,-86.12953,51.771362,21.88209,20.57054,7.103279,6.5161174e-08,428,10,1,231,318,15,750,106
6.8252573,41.029587,-70.32237,8.853618,41.070824,-70.45499,54.758297,21.698156,17.901318,6.800864,5.1831408,585,7,1,109,451,48,297,446
1.8486726,61.25166,-155.44162,13.5237255,60.864742,-157.1587,50.261955,19.211403,26.97054,8.044464,0.4482246,469,5,0,101,558,46,73,392
3.3125124,43.41121,-74.11064,7.0258794,43.207985,-73.966385,44.86412,21.370892,27.631792,5.760894,5.127471,10,10,1,633,121,39,306,426
6.095177,47.63553,-95.66028,6.463687,48.25222,-94.681656,66.41155,22.823343,12.6463585,7.6193,0.104472466,644,2,1,776,878,36,645,252
6.7443824,40.8976,-108.954605,6.304373,41.408756,-107.56887,26.633604,22.15218,12.258111,11.484072,2.6998367,465,7,1,947,468,29,459,259
2.9647007,41.26545,-71.35244,10.4474125,40.7617,-74.39118,57.37236,2.4759836,19.706388,4.9513,2.869815,314,9,0,232,581,13,279,30
6.771674,39.15524,-72.988235,7.126925,39.37812,-73.60445,42.842945,19.913265,7.588083,8.789799,0.3924771,341,7,0,902,550,13,809,123
5.9479194,47.14619,-123.52326,6.4746275,47.45908,-123.69094,85.44499,2.8986073,2.6706684,5.987522,0.26281554,543,1,0,231,727,23,667,81
4.9416523,48.453278,-108.790405,5.575754,47.456623,-108.002014,58.836067,1.2486982,24.524559,3.8900886,4.00331,282,10,1,371,464,3,515,403
1.575424,43.871265,-117.700455,9.074982,43.35878,-115.31793,37.072224,21.63577,4.1433845,7.4914274,2.9480665,200,5,1,727,398,23,305,358
6.741325,40.613102,-96.602264,9.848475,40.93761,-96.736755,76.461754,22.905169,13.320246,1.8424861,2.0551999,202,7,1,556,380,22,815,379
6.0860395,39.91855,-80.15003,11.02612,39.642044,-77.82703,71.73911,21.86808,1.9470937,3.9551218,2.9683776,642,2,0,947,772,25,77,20
6.9451475,49.796837,-125.46398,8.950321,49.298138,-124.62477,72.37509,22.950361,14.697554,3.9898467,1.0223758,127,6,0,155,554,46,849,174
6.750151,36.800056,-70.12393,11.871454,36.66142,-70.83264,70.16289,22.36881,4.006499,9.620061,4.890332,345,7,0,466,877,50,897,4
5.693189,36.399487,-85.46242,7.886296,36.271114,-86.461,31.477732,22.19366,23.643711,8.935443,2.1116533,100,13,1,826,703,26,780,297
5.799552,42.364777,-70.60175,7.058976,42.84997,-70.1366,63.84216,9.132214,26.217342,11.163127,2.959199,218,1,0,908,483,48,533,187
2.1280913,30.527931,-90.14725,8.555502,31.49887,-89.74375,37.799606,1.7684021,26.613111,3.6398187,5.036837,381,11,0,772,61,24,809,113
6.4141607,47.54623,-93.75333,7.0193334,47.131878,-92.113045,44.93357,0.8173867,25.628222,1.3851488,5.1790304,474,0,0,83,188,36,363,231
3.5443115,39.870247,-97.41709,3.1691768,40.08101,-96.29114,62.929214,3.545246e-08,13.1802,7.922014,1.124436,272,5,0,98,767,22,539,366
5.8665047,39.128754,-101.528786,8.055035,38.791897,-102.316864,28.181765,10.4329195,26.845007,9.460727,5.0128183,479,13,0,306,522,6,840,119
4.6746583,42.78061,-111.32747,9.027939,42.61611,-110.12714,38.010983,23.0,28.881128,11.536207,3.6460009,93,8,0,187,86,1,179,2
6.1097846,35.53975,-83.36406,11.877682,35.613728,-83.32989,59.443134,19.044611,8.854474,2.0573099,5.9681845,666,2,0,762,169,7,205,345
1.912468,33.462276,-88.76153,6.5221915,33.676098,-90.36134,60.586433,3.7380009,27.636486,3.8795931,5.145587,523,5,0,609,34,30,490,454
5.262834,42.540993,-75.310585,6.0365324,42.991173,-74.05561,45.606388,22.945456,15.441735,3.8683167,0.6498404,457,12,0,24,634,27,789,231
