amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
2.9559896,38.4687,-76.65023,7.1355352,37.83189,-76.77111,28.563461,22.416224,10.389396,7.3108916,4.904081,367,10,1,910,161,5,137,331
6.9431515,35.670853,-77.434135,7.604972,35.447594,-76.60496,68.90281,14.341727,10.3853035,9.955718,4.985266,381,6,0,305,470,0,139,457
3.3718023,39.723667,-101.790665,11.379954,40.3612,-102.12759,36.956192,3.785799,22.48081,1.6934731,0.8756812,66,9,0,446,720,38,763,336
2.234099,40.912426,-77.60121,6.9735775,41.894,-78.115685,51.498035,16.56727,11.735978,2.649628,2.7981482,682,12,1,55,30,5,614,384
6.6575966,41.34117,-69.86009,7.806912,40.73215,-71.06944,56.19499,0.93927294,7.62384,11.329706,5.7670712,293,7,1,385,120,48,891,372
2.4474533,39.501907,-111.79914,5.90801,39.801575,-112.13571,52.37274,14.350144,13.707251,11.320526,3.1205628,320,5,1,944,666,29,580,270
2.2608786,45.80296,-94.92496,6.6855135,46.57563,-96.413055,87.90271,23.0,12.528089,1.185529,1.8319895,564,11,1,921,806,36,606,99
6.7361364,38.802547,-80.11702,10.140031,39.217762,-80.535736,57.03921,1.498971,25.502697,7.1948814,4.0205107,359,6,0,677,593,9,974,43
6.483458,52.256733,-131.60394,9.314886,52.62328,-132.19353,50.536766,2.379775,20.12848,1.5360119,5.6250286,9,7,1,381,838,1,594,446
2.9333425,43.37811,-122.30133,6.263642,42.967278,-120.4793,47.87512,0.6211415,4.307009,7.9675074,5.9810033,221,4,0,742,332,23,558,41
5.730787,48.957306,-119.95713,13.812702,48.76336,-119.57692,50.125652,21.786634,3.0240219,9.301139,2.1480167,319,13,0,655,546,46,488,270
4.0708265,41.985237,-109.06373,5.9697366,41.067024,-110.36766,47.14854,3.0171032,5.284738,3.157344,0.23490244,320,10,1,842,459,29,399,399
2.4762764,38.04702,-91.472466,7.5475144,37.27876,-91.020905,50.030636,0.06296257,29.299282,9.092599,5.895341,35,3,0,0,763,40,699,81
6.191338,44.081333,-91.839714,11.277419,43.679893,-91.706406,45.746803,2.195242,29.156979,11.189278,3.7544565,37,2,0,299,724,47,417,386
2.3041277,34.28931,-98.328545,7.6818666,34.566334,-98.55999,55.8694,1.2200279,6.761107,6.8101673,5.914528,378,5,1,519,88,14,563,482
5.7731543,31.85856,-81.76639,12.250985,31.845226,-82.30416,99.08459,11.714645,25.550709,7.101843,2.9743931,574,1,1,39,242,33,212,142
6.6527085,44.22814,-74.4283,11.421034,44.49195,-74.43825,88.955086,22.023737,23.718283,1.5112951,4.123398,628,0,1,488,659,44,48,306
3.2908654,42.952755,-89.525406,10.095572,42.904484,-88.47004,71.00285,22.148235,22.272114,11.930557,0.32433778,417,4,0,440,587,18,697,416
3.3414416,38.306496,-79.87956,8.223482,38.071125,-81.10059,32.414444,22.589792,28.00353,4.1391115,1.2211927,252,12,1,27,596,9,785,313
