amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
3.0488791,26.13963,-80.24368,10.434704,25.761175,-80.188156,91.150925,21.160103,7.1197696,10.8394,6.5161174e-08,82,12,1,944,815,10,102,179
3.1439464,39.137238,-82.46688,7.9199867,38.85838,-83.00133,59.681316,22.932508,2.9837053,7.211131,3.9520073,223,10,0,792,69,9,590,126
2.8310182,45.85225,-113.160065,4.205417,45.48936,-111.84756,59.7693,22.530262,3.5489166,2.2710993,6.5161174e-08,499,12,1,15,357,46,727,484
3.7165582,42.121017,-97.27875,6.0925236,42.534958,-97.23567,91.29395,1.1689558,8.245355,11.478896,6.0,685,10,0,43,384,8,733,393
2.916136,33.165607,-83.70129,11.175438,32.984882,-83.351974,38.036045,22.940237,13.88959,8.08086,6.5161174e-08,225,10,1,524,96,33,666,393
6.2058206,38.597908,-83.46169,9.707067,38.755665,-83.84205,60.618164,2.0428705,3.7178543,6.2277517,3.9345057,81,2,1,675,94,25,40,308
6.6524525,44.014847,-74.21004,6.7728777,44.094543,-74.2301,48.775936,21.952091,19.945122,10.354755,4.037853,230,0,0,774,711,44,213,191
2.4958568,39.97112,-86.4188,6.756742,39.421925,-86.412796,40.85665,22.048435,16.120684,3.6636684,0.86732227,51,3,0,613,545,25,117,318
3.0540876,43.07557,-73.3448,5.8295894,43.082348,-73.322876,75.39598,22.173946,17.484615,5.692553,0.7265151,24,10,1,768,706,39,863,441
5.686913,43.64429,-71.19844,5.7086806,43.351185,-70.38541,75.18861,2.1935158,5.6099563,2.4098632,1.0058702,140,13,0,11,118,34,226,409
5.801518,39.748047,-102.4409,11.866726,40.000122,-101.85261,76.3826,1.9113083,13.503706,3.8479924,6.5161174e-08,481,1,0,955,162,1,903,280
5.4400854,40.373203,-84.53757,8.098517,40.59093,-84.52226,47.6179,21.913973,15.569778,7.6297765,3.9824364,658,13,0,202,610,15,522,181
2.5577805,45.00539,-111.5034,6.924469,44.829193,-111.38251,53.788914,3.0176373,26.145432,7.0425024,3.9426003,644,5,0,3,567,2,746,176
3.016234,37.386524,-119.14549,11.131063,37.901196,-119.40835,62.271767,23.0,10.200251,8.899641,1.0504197,153,10,1,401,356,11,352,64
2.1299715,45.620827,-73.209625,7.6137843,45.745155,-72.98306,51.560944,22.25047,27.622345,4.144861,0.9873279,178,11,0,519,82,39,523,5
2.9780529,34.699104,-79.51694,7.879232,34.904488,-79.98372,52.37848,3.1971292,9.185667,2.2261312,5.9744573,593,12,0,632,895,41,85,42
2.2931466,36.194164,-99.045105,6.4565816,36.324036,-98.63846,44.915424,1.241149,7.045466,7.1484175,5.9852433,142,11,0,827,643,14,780,367
6.7854877,41.90882,-71.03146,7.9701333,41.80013,-71.22461,64.34633,22.019402,1.8976247,4.5866337,2.9961364,68,7,1,142,483,16,338,90
2.9257994,41.15614,-97.30278,8.368766,41.332348,-97.57665,42.22094,23.0,3.6459024,10.775822,4.009118,668,9,0,163,463,45,473,276
2.3670747,43.773415,-70.0735,8.0678215,43.51223,-69.44841,47.084408,22.241196,6.1076064,5.3812823,6.5161174e-08,658,3,1,435,714,34,845,355
4.9345675,40.267002,-106.98283,6.379623,40.68222,-107.04825,35.52406,1.8780241,29.13757,8.860648,5.888242,229,8,0,606,730,1,657,340
6.801866,35.477894,-108.41192,10.085024,35.60813,-108.260765,60.160057,23.0,21.265858,5.4353604,0.98794574,635,0,0,910,861,42,265,301
2.92896,30.962158,-96.106575,9.790577,31.191498,-96.15297,68.198616,22.885607,13.769159,9.994428,1.9865913,65,9,1,951,256,17,949,153
6.73389,35.12688,-79.26442,11.569157,35.391975,-79.07947,44.226856,19.06948,28.071299,6.899739,5.997603,153,7,1,789,194,41,38,86
6.787277,29.717682,-83.172554,9.489186,29.294825,-83.00243,43.486397,0.47152236,10.840121,4.720599,6.5161174e-08,253,7,0,46,391,10,260,158
5.7491574,31.37948,-91.96222,12.3936615,31.13488,-91.88258,40.303043,18.557272,11.254906,3.0148814,6.5161174e-08,5,1,1,41,350,24,416,323
3.7278838,46.803356,-113.457634,8.507852,47.13179,-113.73748,46.842194,0.90841013,24.52537,2.8131673,6.0,182,9,0,153,589,3,516,437
5.7656107,48.979652,-115.673256,6.3174934,48.821068,-115.62324,67.305466,21.934267,20.562103,3.3687122,3.123332,525,1,1,480,131,46,393,4
6.285001,38.06267,-84.02034,5.1461587,38.273407,-84.15164,46.40629,3.1525612,3.3799446,6.737354,3.9927154,21,2,1,566,258,25,306,496
1.8925864,41.469795,-72.23482,7.804477,41.652386,-72.029884,38.85811,23.0,11.393009,10.2081585,6.5161174e-08,432,11,1,767,619,44,873,428
6.0379295,37.79797,-79.01397,8.446706,37.756992,-78.5204,59.848362,22.863274,21.37991,3.9256692,2.038209,284,2,1,713,2,4,153,69
6.7454195,40.196354,-99.84709,8.558471,40.180477,-100.04341,37.726578,23.0,12.5458975,5.284372,3.0374854,679,7,1,123,752,22,403,427
2.3611147,36.93042,-117.46063,8.3474,36.51673,-118.48026,37.283123,22.126635,23.58541,7.1181226,0.51350075,78,5,1,850,260,11,301,380
6.8833847,44.28216,-72.15192,7.154276,44.08893,-71.900345,56.169487,3.0364313,21.447199,5.763644,5.057953,310,6,1,237,666,44,901,305
6.7481976,38.587685,-74.01376,10.31064,38.756767,-73.504715,45.883472,2.9462337,20.16646,7.1794095,6.5161174e-08,582,7,0,456,209,4,20,415
6.6609445,42.083233,-82.28405,7.281078,41.97285,-81.902115,31.807293,11.208504,19.813698,4.3601923,2.032463,668,0,1,718,773,37,208,0
5.4956255,38.80538,-80.71525,8.665931,38.779236,-80.13466,51.869976,3.4560356,23.470388,4.608052,2.0469987,60,13,1,494,488,49,781,492
3.0045316,45.68638,-71.55331,9.054077,45.602844,-71.1524,31.904154,22.998507,25.505714,2.423989,2.0457113,595,10,0,916,547,44,320,283
6.2217383,37.801624,-80.31957,9.845404,38.07834,-80.24273,42.749058,23.0,16.88999,9.661627,0.85073644,474,2,0,471,22,9,601,55
6.9070745,42.171528,-79.66088,8.264053,42.2221,-79.90808,65.73582,21.975061,12.809982,9.13969,3.9717867,190,6,1,965,78,49,791,406
2.439444,36.43754,-94.76293,11.574645,36.474655,-94.54714,65.05944,22.050047,26.3523,11.165512,0.93435603,213,3,1,953,296,14,689,48
5.5598497,43.571804,-109.084305,7.1460547,42.922733,-109.68607,73.46222,3.0425596,15.536017,11.227728,0.017366474,415,4,1,169,436,20,250,331
2.5273516,41.11707,-74.78286,8.964366,41.217472,-75.30867,86.42105,9.644602,28.19838,7.0741014,5.911792,586,3,0,230,714,13,109,117
