amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
2.555681,-0.76612043,0.9364844,-0.19689792,-0.8551654,0.8965284,-1.2603528,-1.0265181,1.0868671,-0.8427107,1.3796941,66,0,0,378,810,4,617,332
1.7734846,0.6230877,1.4070421,-0.80927765,0.68078405,1.4532819,-0.24057043,-0.5280059,1.2265748,0.25934103,0.014281481,57,4,0,600,476,48,353,367
2.675508,0.7124614,0.35479003,1.2378762,0.74045783,0.36391163,-1.5012217,1.4901134,-0.74957585,0.70185065,-0.42059478,412,6,1,176,634,15,38,23
1.6929841,-0.799544,0.7500492,-0.47338507,-0.7269987,0.7387909,-0.9742639,1.3609812,1.4730148,0.5174752,-0.9708496,465,9,0,773,226,0,116,350
2.617403,1.260975,-0.9884718,0.73917043,1.250775,-0.9791377,0.6281765,1.3526638,1.036158,-1.4280863,-1.3500817,136,0,0,882,656,45,547,213
1.6883112,-0.3132826,-0.6241256,-0.6796003,-0.32756397,-0.6523644,-0.83666605,1.3700459,0.3500404,-0.33560443,-0.4855568,113,9,0,416,465,14,406,15
2.5384123,1.6250247,-1.7735367,-0.5615838,1.5940597,-1.772262,0.8007106,1.4843888,0.57334805,0.030840201,1.3471977,63,2,0,156,117,46,522,229
1.6652585,0.16836219,0.7976126,-0.5709797,0.27592275,0.7741419,0.45738563,1.3533274,1.3706346,-0.23232354,1.3420529,336,11,0,539,141,9,457,35
2.6163657,1.0064667,-1.5300211,-0.6213222,1.033064,-1.5184468,0.6803897,1.4790971,-0.32674766,0.095149465,0.030058516,423,7,0,89,445,20,727,163
1.7939738,0.27066135,-0.5341311,-1.3890847,0.25755247,-0.52411693,0.7633182,1.2960545,0.14861892,-0.8468622,0.033684604,453,10,0,783,173,22,300,344
-0.9527315,0.6358909,1.34236,-0.70644104,0.5263991,1.3630384,-0.18441531,0.07976044,-1.3890685,-0.057936225,-0.43008056,372,5,1,545,14,44,169,449
1.7647924,2.8858163,-0.9947622,-0.42571697,3.1608214,-0.88442075,-1.4590108,1.4715276,1.1161411,-0.914316,-1.3500817,114,12,0,68,433,34,860,475
2.4860363,-1.3610392,-0.46178624,-0.90131706,-1.395289,-0.42446977,-0.035937637,-1.4195454,1.4159256,0.5767445,0.937328,424,1,1,787,78,17,717,100
2.4815316,-0.86191237,0.20390353,1.0050584,-0.82440346,0.18822964,0.2426654,-1.8150117,0.42447162,-0.5086535,0.004860193,631,13,0,334,848,7,273,347
2.5816379,-0.369601,1.1708959,-0.35618317,-0.39645666,1.1455648,0.15079117,1.205038,-0.21241675,-1.7607585,0.499289,204,0,0,694,678,4,868,235
0.8772148,1.3278663,-0.17806102,0.120272525,1.3991289,-0.17052351,1.3141135,-1.7087628,-1.397712,0.3008274,-0.44488174,211,12,0,304,292,36,517,299
