amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
6.9487524,31.897573,-99.89034,11.049286,32.06441,-100.08369,72.55139,22.059746,19.075981,5.715897,4.0385666,334,7,0,791,630,17,78,334
7.0260224,39.102802,-97.06904,6.174515,39.29431,-96.991234,83.40433,22.177692,18.310259,5.2577147,0.9396551,168,6,0,581,450,6,173,320
2.647974,33.673553,-98.1138,9.254495,33.59787,-98.1747,33.283077,22.280563,5.1887116,8.840902,5.084192,342,5,1,501,585,17,933,373
5.7804956,43.40209,-95.326454,6.2524605,43.365707,-94.67858,63.12101,3.0020828,16.68257,9.8935,0.0062606987,425,9,1,399,713,8,859,126
6.8066306,44.226795,-104.660965,6.994371,44.30729,-104.580185,49.67156,22.986206,25.22388,10.099698,2.0428903,463,2,0,142,83,20,635,216
7.0320277,38.506866,-93.57929,5.993679,38.36218,-93.49974,33.552788,22.108398,10.018751,6.344464,6.5161174e-08,1,6,1,186,469,40,61,83
5.788748,39.644833,-87.02176,5.3952265,39.618984,-87.08586,60.884792,22.146137,23.144953,6.8673,0.89588505,338,9,1,845,643,25,226,310
5.8234057,36.53822,-95.91889,7.528213,36.51933,-96.86708,71.87669,22.86567,29.257643,5.740174,5.978231,89,10,0,889,779,14,127,393
6.568449,38.997356,-85.5614,11.885417,38.9873,-85.25798,56.881058,0.62879854,19.491667,9.762717,5.1311584,156,8,0,933,478,43,921,345
6.8667436,43.86354,-84.89324,6.776978,43.477074,-85.20151,39.963734,16.50073,4.570477,5.5992904,6.0,627,0,0,51,132,49,546,491
6.587908,41.825382,-71.58613,9.160385,41.83949,-72.42644,47.812965,22.088833,6.001573,9.722019,6.0,218,13,0,214,586,48,741,351
3.166265,38.572346,-95.27364,9.574175,39.001724,-95.46061,65.46303,23.0,21.968636,8.235563,5.0614486,366,3,0,193,39,6,36,286
6.932488,30.76857,-93.942024,9.868311,30.984932,-94.52035,55.619377,20.823475,11.201484,11.1129465,4.0487375,54,7,0,346,455,24,97,97
5.891343,34.00469,-106.869194,6.726238,33.90704,-106.39376,34.972706,22.861315,14.506254,7.0662384,2.0114539,623,8,0,790,342,12,330,232
2.3311725,39.48476,-103.737526,10.583223,39.30281,-103.82589,72.628654,1.6957378,13.129874,9.778611,4.043937,38,5,0,364,668,38,197,478
6.6798983,38.86151,-75.261925,7.9172096,38.886593,-76.14318,68.18732,0.9394885,5.417545,9.598367,3.9831424,186,13,1,2,765,13,380,253
2.101808,35.031048,-87.014244,10.060973,34.961437,-87.41171,42.977886,0.97214705,11.716398,5.622169,5.92653,504,11,0,742,753,30,845,383
6.9274235,38.15302,-82.42508,10.517657,38.08488,-82.7006,53.787903,21.953836,21.181145,1.8073838,3.030792,442,7,0,750,631,9,741,97
6.9023223,31.040247,-85.822296,10.868024,30.877396,-85.832016,71.24223,22.927683,19.98713,9.469176,3.9930327,557,0,1,960,385,33,445,245
5.855994,38.79219,-76.845856,8.909518,38.99484,-77.55329,55.852623,7.0624866,28.877968,2.3542078,6.0,314,4,0,862,71,32,856,50
5.8197675,42.629307,-115.00294,6.880221,42.818535,-114.82992,71.34768,2.4920168,3.298948,5.2114987,4.9165397,421,9,1,365,602,23,605,39
