amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job
6.8243318,34.653954,-77.35315,7.8761287,34.17284,-77.89199,28.906666,5.809627,25.498053,4.2658224,6.0,66,0,0,378,810,4,617,332
5.8165894,41.69928,-70.88397,6.3754115,42.01479,-70.23123,46.660427,9.207362,26.738132,8.0402975,2.9988465,57,4,0,600,476,48,353,367
6.9787107,42.15254,-85.35022,11.392231,42.319458,-85.22063,24.713293,22.962362,9.197339,9.555873,2.0429962,412,6,1,176,634,15,38,23
5.712877,34.484447,-79.91624,7.19856,34.82721,-80.06241,33.88729,22.08223,28.925592,8.924396,0.83354574,465,9,0,773,226,0,116,350
6.903851,44.934307,-103.81724,10.170087,44.924934,-103.70057,61.78476,22.02554,25.047945,2.2609384,6.5161174e-08,136,0,0,882,656,45,547,213
5.7068563,36.95051,-98.80824,6.693203,36.866566,-99.20427,36.282784,22.14401,18.9578,6.0026374,1.9002107,113,9,0,416,465,14,406,15
6.8020835,46.780575,-114.61022,6.982418,46.677612,-114.61371,64.78847,22.923344,20.939932,7.2576933,5.928573,63,2,0,156,117,46,522,229
5.6771564,39.393154,-79.262344,6.959392,39.947727,-79.57599,58.811398,22.030062,28.016842,6.35637,5.9172654,336,11,0,539,141,9,457,35
6.902515,43.643578,-111.2624,6.836021,43.81339,-111.12129,62.693756,22.887278,12.950465,7.4779496,3.0335243,423,7,0,89,445,20,727,163
5.8429866,39.91196,-97.57101,4.9545183,39.853935,-97.43963,64.13749,21.639704,17.169933,4.251604,3.0414944,453,10,0,783,173,22,300,344
2.3042707,41.764214,-71.77321,6.627426,41.22656,-71.47295,47.638054,13.349747,3.5210474,6.953638,2.0221465,372,5,1,545,14,44,169,449
5.805391,53.17464,-103.90372,7.315377,54.676872,-102.39729,25.448156,22.835686,25.757895,4.020578,6.5161174e-08,114,12,0,68,433,34,860,475
6.734605,31.636843,-96.576416,6.149857,31.415186,-96.06851,50.222954,3.1308508,28.418856,9.12739,5.027687,424,1,1,787,78,17,717,100
6.7288013,34.168148,-87.42459,10.82168,34.3299,-87.637955,55.073257,0.43545058,19.61847,5.4099526,2.9781387,631,13,0,334,848,7,273,347
6.8577733,36.66489,-74.130486,7.4857793,36.514828,-74.465324,53.473785,21.019358,13.965294,1.1215518,4.0648847,204,0,0,694,678,4,868,235
4.661881,45.273544,-92.6758,8.653397,45.682373,-92.57429,73.72649,1.1596174,3.4443252,8.182386,1.9896139,211,12,0,304,292,36,517,299
6.9577403,35.577347,-111.67208,8.06779,35.794483,-111.47906,40.213272,22.860804,5.1428437,7.1609826,6.5161174e-08,130,7,0,529,353,12,814,141
6.714379,34.32154,-77.415924,11.85337,34.64165,-77.40939,53.898705,3.545246e-08,24.261536,6.7697244,0.91959697,530,1,0,389,849,0,525,302
4.825595,43.394806,-88.78681,6.984292,43.658443,-88.76308,30.172691,10.991262,17.735659,3.0880272,1.9601451,122,10,1,486,182,19,659,96
6.9304333,45.57827,-74.8173,8.500442,45.6111,-74.40139,50.109066,22.037579,23.63565,10.483792,2.0085526,42,7,1,849,770,34,571,369
2.5892928,28.898216,-126.44279,8.751025,28.609539,-126.440544,47.217922,14.480072,21.33745,3.7214758,0.009312933,598,5,1,98,729,21,299,53
6.8214297,45.211205,-75.373566,8.501184,45.18277,-75.27966,55.786137,22.132984,7.1098638,6.3394694,6.5161174e-08,176,2,1,807,198,39,590,487
2.9354775,38.429672,-78.32614,9.117744,38.60331,-78.30174,66.76959,22.182596,25.147429,9.130989,0.9823305,407,4,0,799,367,5,132,454
